id,comunita,sede,valore
1,"valle di fiemme"," cavalese",19.9
2,primiero,tonadico,25.1
3,"bassa valsugana","borgo valsugana",2.6
4,"alta valsugana","pergine valsugana",8.7
5,cembra,faver,1.7
6,"val di non",cles,4.4
7,"val di sole","male'",45.4
8,giudicarie,"tione di trento",18.0
9,"alto garda e ledro","riva del garda",19.5
10,vallagarina,rovereto,1.2
11,"ladino di fassa","pozza di fassa",83.5
12,"altopiano di folgaria, lavarone e luserna",lavarone,53.8
13,rotaliana,mezzocorona,0.7
13,rotaliana,mezzocorona,0.7
14,paganella,andalo,84.5
15,"val d'adige",trento,2.0
16,"valle dei laghi",vezzano,1.4
